Timestamp,"1-5: Afternetworking, 6-10:before networking"
2022/04/05 4:15:14 PM AST,6. Time management | 7. no friends | 8. stress | 9. too much work | 10. Money
2022/04/05 4:16:32 PM AST,"1. Constantly tired, 2. Not really learning the material, 3. Decrease price of food, 4. GPA, 5. More frequent bus routes needed, 6. Free coffee because I'm always tired, 7. School keeps track of how many project-based classes a person's taking, 8. Bring Back Starbucks, 9. Decrease price of food, 10. More frequent bus routes"
2022/04/05 4:16:48 PM AST,"1. Finding internships, 2. balancing social life with school work, 3. finding an organization that can help promote learning about one's major, 4. earning money while in school, 5. stressed about life after college. 1) Courses could reduce the workload such as giving less assignments. 2) Provide welfare to students such as giving out welfare packs during exam periods. 3) Reduce tuition fee to reduce financial burden of the students. 4) Introduce more food options on campus, make meal plans more flexible and cheaper. 5) Improve shuttle bus service"
2022/04/05 4:17:00 PM AST,"1 Internships, 2 work-life balance, 3 time management, 4 work load, 5 lecture and class format, 6 Graduation, 7 what to do during the summer, 8 Masters degree, 9 fulltime/internship, 10 move to a new city"
2022/04/05 4:17:33 PM AST,"1. I'm constantly tired, so some free coffee before a certain hour would be nice, 2. Less busy work in classes, more project based assignments that actually test your knowledge of the subject, 3. ECE labs take up too much time and should be shorter or awarded more credit hours, 4.Slightly decrease the prices of food on campus, 5.Bring back Starbucks."
2022/04/05 4:17:33 PM AST,"1. More breaks, 2. Later HW due dates, 3. Better notes on canvas, 4.Better roads/sidewalks, 5. On campus groceries, 6. More breaks, 7. More bike racks, 8. Clearer sylabi, 9. Better roads, 10. On campus groceries"
2022/04/05 4:17:40 PM AST,"1.  Make avaibale health resources accessible, 2. Anxiety 3. Worried abojt money 4. Sleeping on time 5.  Graduation.  (Mine wasnt in the form . It wasnt listed and i don't remember them all"
2022/04/05 4:18:45 PM AST,"1. work load, 2. parents need to take a break, 3. less weight on tests, 4. more clear degree reqs system, 5. better housing app system, 6. more work-life balance, 7. parents take a break, 8. more mask wearing, 9. better housing app system, 10. more example problems in classes"
2022/04/05 4:18:46 PM AST,"1. More breaks, 2.difficulty of exams, 3. finding internships, 4.waking up on time 5. time management 6. less weight on tests 7. projects that start with a baseline 8. less busy work 9. no textbooks 10 NA"
2022/04/05 4:19:14 PM AST,"1. Less weight on tests, more on projects 2.Less work load 3.better teachers 4.stronger alignment between assignments and exams 5.less work 6.stress 7.anxiety 8. constant state of exhaustion, 9.feeling bad all the time 10.stomach aches"
2022/04/05 4:19:53 PM AST,"1. Graduation, 2.  Less busy work in classes, more project based assignments that actually test your knowledge of the subject,  3. Constant State of Exhaustion, 4.  Too much emphasis on tests and not enough emphasis on learning workforce-relevant skills. 5, Make the available mental health resources more clearly explained and accessible , 6. feeling frustrated with lack of quality education, 7. trying to figure out next steps in professional life, 8. having trouble finding time to make food and spending too much eating out, 9. not having enough time to actually learn the material for the courses, 10. tired all the time"
2022/04/05 4:19:57 PM AST,"1. Excercise Schedule, 2. Getting up early, 3. Moving, 4. Work Life  Balance, 5. Commuting, 6. Work Load, 7. Job Placement, 8. Planning Graduation, 9. Planning Future Housing, 10. Finances"
2022/04/05 4:20:12 PM AST,1.Not enough time. 2.Stress from school work 3.class rigor 4.Financial Stress 5.Graduation stress 6.No time to sleep 7.Classes demand too much 8.Too much school work 9.Financial stress 10.Low GPA
2022/04/05 4:20:18 PM AST,"1. Pressure from school work, 2. mental health,  3. housing sucks, 4. commuting, 5. ridiculous fees"
2022/04/05 4:20:32 PM AST,"1. Unless if it is not reasonable to expect us to have access to external resources when we use the knowledge we gain in a class, all tests should be open note. 2. Breaking up larger tests, projects, and assignments into smaller ones would encourage more spread out and effective studying. 3. Lower the credit hour requirement for a student to be considered enrolled full-time. 4. Promote mental health resources better with in-class explanations of how to access them. 5. Put in place a non-academic incentive for the CIOS and provide greater incentive for professors to earn better CIOS responses. 6. Make the available mental health resources more clearly explained and accessible 7. Encourage students to take semesters with lighter course loads 8. Make CIOS results available to students 9. Make all required textbooks available for free 10. Reopen the student center"
2022/04/05 4:20:33 PM AST,"1. experience based learning over exams, 2. work life balance, 3. internship matching, 4. mental health emphasis, 5. better financial aid, 6. mental health, 7. physical health, 8. finances, 9. post graduation aid, 10. grade breakdowns."
2022/04/05 4:20:48 PM AST,"1. Figuring out unknowns for next year. Suggestion: Have panels talking about different struggles of students. 2. Lots of end of semester stress. Have events that help reduce stress for students. 3. Insecurities in my abilities. Have panels for insecurities, about imposter syndrome.  4. NAV gym is not good. Upgrade gym equipment (which is happening but not until next year) 5. Bad roads on gt (speak with the local government to repave roads). 6. more areas to relax on campus 7.  shorter labs for ECE courses 8. no/reduced textbooks 9. cost of living 10. better bus system"
2022/04/05 4:20:54 PM AST,"1.Tuition is too expensive 2.I find myself not being able to sleep because I have too much work to always do, and when I need sleep my stress keeps me up. 3.trying to figure out next steps in professional life 4.ECE doesn't hire enough TA's for classes 5.Work Load 6.Commuting as a student – Having commuted throughout most of my time at Tech I feel like there should be a little more understanding for students that commute. It causes a great deal of stress as well as financial burden, and not all students are able to attend course events equally (review sessions, recitations, etc.). To help this I think encouraging the recording of such events would be greatly helpful. 7.Time management – At the start of my time at Tech my time management skills were not as good as some of my peers. While this is no longer an issue to me, I think the institute should advertise the services relating to this better (I know the services are available) 8.	Campus travel – Possibly more busses on each route, wait time is rather long. 9.Registration – Buzzport could be a bit more streamlined than it currently is in regard to registration. 10. Permits for large classes (overload) – While I am aware there are likely other challenges associated with issuing permits, I feel as if obtaining them is rather hard and for large classes they should be more easy to acquire since a few extra students likely would not affect the overall class"
2022/04/05 4:21:00 PM AST,1. Rework some courses to focus on more application based assessments. 2. Slightly flexible exam / project due dates to alleviate crunch stress 3. Reduce tuition costs (particularly for out of state students) 4. Incorporate more real world work environment type experiences into classes. 5. Have recorded lectures for students to review class materials if they are absent 6.Slightly flexible exam dates to alleviate crunch stress 7. Slightly flexible project deadlines to alleviate crunch 8. Recorded lectures to allow for reviewing of class materials in case of absence  9. Ensuring graded midterms before course withdrawal deadlines 10. More on campus dining options
2022/04/05 4:21:21 PM AST,"1. Internships/CO-OPs, 2. finding time for myself, 3. earning money, 4. school work, 5. social life, 6. Finding internships, 7. balancing social life with school work, 8. finding an organization that can help promote learning about one's major, 9. earning money while in school, 10. stressed about life after college"
2022/04/05 4:21:35 PM AST,1. Financial Aid 2. Grades 3. Graduating 4. Finding a Job 5. Socializing 6. Lack of Sleep 7. Housing Cost 8. Stress 9. Confusing degree requirements 10. Parking passes
2022/04/05 4:22:06 PM AST,1. More on campus dining options 2. Have exams schedules be more flexible 3. Have more emphasis on projects 4. Better work-life balance 5. Have less busy work 6. Have more teachers provide online materials 7. Have more areas to relax on campus 8. Have better mental health outreach programs 9. Have more targeted career advisement 10. More in person health services 
2022/04/05 4:22:58 PM AST,"1. Making registration of classes and graduation eaiser 2. less weight on tests for classes it doesn't make sense that your whole semester is dependent on a single day 3. giving free food and coffee outside populated buildings so students running late or who forgot to eat can take care of themselves 4. Getting more therapists or councilors for people with mental health issues 5. giving more resources for adulting like moving, doing taxes etc 6. Future decision (Internships, grad school) 7. Relationships 8. GPA 9. mental health 10. overthinking "
2022/04/05 4:23:13 PM AST,"1. Less busy work in classes, more project based assignments that actually test your knowledge of the subject 2. Make the available mental health resources more clearly explained and accessible 3. Clearer sylabi 4. On campus groceries 5. More options to take classes on practical 'life skills' for post graduation 6. More available housing space, 7. More busses on weekends, 8. Better Dining, 9. More dining options on weekends, 10. Cheaper parking"
2022/04/05 4:23:16 PM AST,"1- Finding internships, 2- preparations for job interviews, 3- More project based assignments that actually test your subject knowledge. 4- Biweekly assignments instead of weekly assignments, 5- On campus groceries. 6- Biweekly assignments instead of weekly assignments, 7- Dinners close at 12 instead of 9.          "
2022/04/05 4:23:20 PM AST,"1: Workloads; 2: expensive tuition; 3: Trying to figure out next steps in professional life; 4:  time arrangement; 5: Relationships; 6: I genuinely don't think that I am facing any challenges besides some classes been difficult, but we are at Georgia Tech"
2022/04/05 4:23:38 PM AST,"1. Surviving alone in a new state, 2. Finding motivation for doing classwork, 3. Not being distracted by other's misguided standards, 4. Finding someone I can actually open up to, 5. Proper nourishment , 6. logistics of moving to a new state, 7. Classes are hard, 8. My car is broken and I need to get it fixed, 9. I'm out of food and I need to cook again, 10. I'm hungry"
2022/04/05 4:23:57 PM AST,"1.Pressure from school work, 2.Future decision , 3.Time management, 4.Sleep deprivation, 5.Anxiety, 6.Pressure from school work, 7.Inefficient time management, 8.Sleep deprivation, 9.Peer pressure, 10.Panemic and Homesickness"
2022/04/05 4:24:21 PM AST,"1. Graduation, 2. time management, 3. Classes (senior design) 4.sleep 5.preparing for the real world 6. Graduating, 7. Classes, 8. Moving, 9. preparing for the real world , 10.Relationships "
2022/04/05 4:25:10 PM AST,1. School | balancing projects | not enough sleep| health  2. Worrying about grade 3. Time management Balancing school  4. Relationship  5. Finance  6. health 7. school 8. career 9.  balancing stuff in life 10.  financial well being
2022/04/05 4:25:11 PM AST,"1. Too much emphasis on tests and not enough emphasis on learning workforce-relevant skills,  2. Make mid-semester CIOS so improvements can happen while students are still in the class, 3. GT wasting money on buildings, 4. Make all required textbooks available for free, 5. More coordination between classes taken at the same time,  6. Less busy work in classes, more project based assignments that actually test your knowledge of the subject,   7. Better formatting of lectures and less typical 'lecture slide' formatting,   8. Stronger alignment between assignments and exams,   9. More options to take classes on practical 'life skills' for post graduation,   10. more leniency in grading formats or opportunities to make up for mistakes (i.e. opportunities to make up for bad test days)  "
2022/04/05 4:25:57 PM AST,"1. Tuition too expensive    2. Lack of quality education   3. Less busywork   4. Biweekly homework   5. Free Coffee  6. Too much work in short periods of time, should provide lecture and work materials earlier (weeks ahead).      7. Too much emphasis on tests and not enough emphasis on learning workforce-relevant skills.   8. Course schedules are not coordinated very well.    9. Not enough ECE community activities.    10. Too much rain.    "
2022/04/05 4:26:09 PM AST,"1. More breaks, 2. More bike racks, 3. Clearer sylabi, 4. Better roads, 5. On campus groceries, 6. Tuition is too expensive, 7. Not enough scholarships, 8. Confusing degree requirements system, 9. GT wasting money on buildings, 10. Pollen"
2022/04/05 4:26:58 PM AST,"1. ECE labs take too much time; 2. Too much workload even for only 14 credit hours (~4 classes); 3. GT wasting money on buildings instead of providing more benefits to students (cheaper tuition, textbooks, food, etc.); 4. Not enough diverse food options on campus; 5. Very difficult to learn career-related skills, as even when they are a ""core"" part of a class, it is barely taught, and assignments bases on these skills are unclear or worth much less than exams; 6. ECE labs take too much time; 7. ECE classes don't have enough TA's; 8. Not enough diverse food options on campus; 9. Too many classes expect students to have prior knowledge about stuff not covered in pre-requisite classes; 10. Being a part of an organization can be quite expensive"
2022/04/05 4:30:25 PM AST,1. work load. 2 job stress 3 lask of sleep time 4. money 5 mental 6-10 i forget my answer 
2022/04/05 4:30:32 PM AST,"1-Time management, 2- The unavailability of affordable apartments near the campus which causes some students to travel long distances to attend classes and this is frustrating,  3- Too many classes expect students to have prior knowledge of content not covered in any pre-requisites, 4- Roommates, 5- My schedule, which start at 8am and end 4:45 pm and I think ECE collage should consider opening more sections for different times, 6- The difficulty and the short time of Exams, 7- The high cost of I-house dorms which cause students to choose apartments far from the campus, 8- Roommates, 9- My schedule, which start at 8am and end 4:45 pm and I think ECE collage should consider opening more sections for different times, 10- Time management  "
2022/04/05 9:19:27 PM AST,1. Provide more time for assignments; 2. suggest next steps in personal life; 3. propose internships; 4. reduce tuition; 5. hire more TAs; 6. provide more time for homeworks; 7. provide information pertinent to exams; 8. hire more tutors; 9. organize materials clearly; 10. provide information about graduate work
2022/04/07 6:53:49 PM AST,1: Commuting to School (I'm living at home instead of near campus) 2: Constant state of exhaustion and burnout 3: Too much work 4: Scheduling Graduation 5: Time Management | 6: Mental Health 7: Too much focus on exams over using material learned in class 8: Loneliness 9: Stress from Exams and finding a job 10: COVID Pandemic and avoiding it for my mom's immune system (Chemotherapy) 
